R,G,B,RB,RG_over_B,lum_mean,lum_std,rms_contrast,p95_p5,filename,code,focal,label,balance,contrast,set,subset
140.38600158691406,140.41717529296875,141.7296142578125,0.9905198812484741,0.9906298097668574,140.55746459960938,30.52573013305664,0.217176154255867,99.4839859008789,20250507T155753Z_002440_281_mid_raw.jpg,20250507,25,no_defect,Cold,High,test,test_3
139.90927124023438,139.94351196289062,141.24313354492188,0.9905562400817871,0.9906774799573489,140.08143615722656,32.08055114746094,0.2290135771036148,102.35901641845703,20250507T155753Z_002440_297_top_raw.jpg,20250507,25,no_defect,Cold,High,test,test_3
137.7278594970703,137.7726593017578,139.1981964111328,0.9894371032714844,0.9895980188748843,137.9217987060547,38.243377685546875,0.27728304266929626,125.07099914550781,20250507T155754Z_002440_265_bot_raw.jpg,20250507,25,no_defect,Cold,High,test,test_3
139.54103088378906,139.57249450683594,140.88485717773438,0.990461528301239,0.9905731921156976,139.71267700195312,33.604461669921875,0.2405254989862442,109.77109527587871,20250507T155759Z_002670_297_top_raw.jpg,20250507,25,no_defect,Cold,High,test,test_3
139.5598907470703,139.66632080078125,140.8757781982422,0.990659236907959,0.991036925794766,139.77236938476562,33.56052017211914,0.2401084005832672,110.10800170898438,20250507T155800Z_002670_281_mid_raw.jpg,20250507,25,no_defect,Cold,High,test,test_3
137.25289916992188,137.33779907226562,138.7463836669922,0.9892358779907227,0.9895418207844531,137.4729766845703,39.67545700073242,0.2886055111885071,129.93999481201172,20250507T155801Z_002670_265_bot_raw.jpg,20250507,25,no_defect,Cold,High,test,test_3
139.51817321777344,139.5144805908203,140.814697265625,0.9907926917076111,0.9907795820568435,139.66380310058594,32.77915954589844,0.23470047116279602,102.4840087890625,20250507T155806Z_002901_297_top_raw.jpg,20250507,25,no_defect,Cold,High,test,test_3
140.02549743652344,140.01083374023438,141.29139709472656,0.9910405278205872,0.9909885586672446,140.16119384765625,31.319528579711914,0.22345364093780518,98.7719955444336,20250507T155807Z_002901_281_mid_raw.jpg,20250507,25,no_defect,Cold,High,test,test_3
137.54185485839844,137.5814666748047,138.98208618164062,0.9896373152732849,0.989779794978882,137.7292938232422,38.431365966796875,0.2790355384349823,122.08379440307617,20250507T155808Z_002901_265_bot_raw.jpg,20250507,25,inclusion,Cold,High,test,test_3
139.7167510986328,139.75343322753906,141.05686950683594,0.9904994368553162,0.9906294720110321,139.89108276367188,32.72593307495117,0.23393866419792175,104.71200561523438,20250507T155814Z_003132_297_top_raw.jpg,20250507,25,no_defect,Cold,High,test,test_3
137.54623413085938,137.60458374023438,139.03294372558594,0.9893068075180054,0.9895166228162741,137.7499542236328,38.68179702758789,0.28081169724464417,126.07101440429688,20250507T155815Z_003132_265_bot_raw.jpg,20250507,25,no_defect,Cold,High,test,test_3
140.12779235839844,140.14840698242188,141.42437744140625,0.9908319711685181,0.9909047830108105,140.28768920898438,31.534465789794922,0.2247842699289322,102.94000244140625,20250507T155815Z_003132_281_mid_raw.jpg,20250507,25,no_defect,Cold,High,test,test_3
139.6363525390625,139.68643188476562,140.96441650390625,0.9905787110328674,0.9907563601913957,139.81716918945312,33.040443420410156,0.23631177842617035,105.35899353027344,20250507T155822Z_003363_297_top_raw.jpg,20250507,25,no_defect,Cold,High,test,test_3
139.9928741455078,140.01611328125,141.28439331054688,0.9908587336540222,0.9909409157191961,140.1537322998047,31.91748046875,0.22773192822933197,104.0,20250507T155823Z_003363_281_mid_raw.jpg,20250507,25,no_defect,Cold,High,test,test_3
137.50363159179688,137.56365966796875,139.00399780273438,0.9892063140869141,0.9894222310430367,137.7099151611328,38.851898193359375,0.28212854266166687,126.84300231933594,20250507T155824Z_003363_265_bot_raw.jpg,20250507,25,no_defect,Cold,High,test,test_3
